long,lat,name,cbg,cb,down_stream,up_stream
-121.77466234432076,38.55207260428028,['P10-026-1'],061130105122,061130105122005,"[(-121.77379125685593, 38.552062093286054)]",[]
-121.77369646482141,38.55132698034892,['P10-031-1'],061130105122,061130105122005,"[(-121.77379125685593, 38.552062093286054)]","[(-121.77468147961716, 38.551336936852536)]"
-121.77468147961716,38.551336936852536,['P10-030-1'],061130105122,061130105122005,"[(-121.77369646482141, 38.55132698034892)]",[]
-121.7725403141328,38.54879868603696,['P10-053-1'],061130105122,061130105122006,"[(-121.77252700570604, 38.54967748392126)]","[(-121.77255008827743, 38.54801499659097)]"
-121.77035830490932,38.551320832851694,['P10-032-1'],061130105122,061130105122003,"[(-121.77065368468067, 38.55255229786277)]","[(-121.76977020522268, 38.55131999937521), (-121.77037044624922, 38.55029749392466)]"
-121.7688277706927,38.55302382183731,['P10-024-1'],061130105121,061130105121006,"[(-121.76887675264422, 38.55255629069981)]",[]
-121.7691722370853,38.55131125286956,['P10-033-1'],061130105121,061130105121000,"[(-121.76977020522268, 38.55131999937521)]","[(-121.76917834742174, 38.550279951236455)]"
-121.76918272262893,38.549854810134065,['P10-042-1'],061130105121,061130105121004,"[(-121.76919553083354, 38.54848066266277)]",[]
-121.76917834742174,38.550279951236455,['P10-040-1'],061130105121,061130105121004,"[(-121.7691722370853, 38.55131125286956)]",[]
-121.77080759461,38.55298737971001,['P10-020-1'],061130105122,061130105122003,"[(-121.77177702360639, 38.55286567076105)]","[(-121.77065368468067, 38.55255229786277), (-121.77086481177014, 38.553448509811)]"
-121.76891729055988,38.55342577866847,['P10-012-1'],061130105121,061130105121000,"[(-121.76976538538663, 38.553435018834556)]","[(-121.76878161937938, 38.55330770288208)]"
-121.77065368468067,38.55255229786277,['P10-021-1'],061130105122,061130105122003,"[(-121.77080759461, 38.55298737971001)]","[(-121.77035830490932, 38.551320832851694), (-121.76961010412879, 38.552577736271225)]"
-121.76887675264422,38.55255629069981,['P10-023-1'],061130105121,061130105121000,"[(-121.76961010412879, 38.552577736271225)]","[(-121.7688277706927, 38.55302382183731)]"
